                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0411,                 6.1848,                 1.9506,                0.13821,                   0.25,                0.10348,                0.04926,                 1.5062,                 4.5743,                 1.7453,              1.062e-05,              1.062e-05,              1.062e-05
                      2,                 1.7078,                 4.6748,                 1.6335,                0.37085,                0.52941,                0.32761,                0.17579,                 1.2275,                 3.1286,                 1.4262,             2.2198e-05,             2.2198e-05,             2.2198e-05
                      3,                 1.3735,                 3.6074,                 1.4005,                0.63864,                0.60294,                0.62556,                0.38674,                 1.2654,                 3.4499,                 1.4019,             3.3542e-05,             3.3542e-05,             3.3542e-05
                      4,                 1.1357,                 2.7195,                 1.2159,                0.66956,                0.64706,                0.62537,                 0.3513,                 1.4254,                 2.8943,                  1.464,             4.4653e-05,             4.4653e-05,             4.4653e-05
                      5,                 1.0844,                 2.4088,                 1.1823,                0.68746,                0.63235,                0.67088,                0.45388,                 1.2581,                  2.643,                 1.4258,              5.553e-05,              5.553e-05,              5.553e-05
                      6,                0.91839,                 2.0229,                 1.1012,                0.82023,                0.66176,                 0.7477,                0.49874,                 1.1062,                 2.0005,                 1.3174,             6.6174e-05,             6.6174e-05,             6.6174e-05
                      7,                0.79777,                 1.7037,                 1.0226,                0.71027,                   0.75,                0.79514,                0.53876,                 1.0869,                 1.8409,                 1.3011,             7.6584e-05,             7.6584e-05,             7.6584e-05
                      8,                0.82639,                 1.5941,                 1.0405,                 0.6843,                0.76471,                0.79927,                0.54687,                 1.0593,                 1.5318,                 1.2955,              8.676e-05,              8.676e-05,              8.676e-05
                      9,                0.77152,                 1.5288,                0.99975,                0.81111,                0.67647,                0.78936,                0.55926,                 1.0649,                 1.5168,                 1.2682,             9.6702e-05,             9.6702e-05,             9.6702e-05
                     10,                0.71609,                 1.2882,                0.96516,                0.85425,                0.60335,                0.77432,                0.56046,                 1.1044,                 1.4167,                 1.2972,             0.00010641,             0.00010641,             0.00010641
                     11,                0.68048,                 1.2325,                0.96942,                0.92719,                0.55882,                0.75584,                0.55174,                 1.1214,                 1.4781,                 1.3401,             0.00010632,             0.00010632,             0.00010632
                     12,                0.67274,                 1.2249,                0.97823,                0.90494,                0.57353,                0.75274,                0.53008,                 1.1613,                 1.5685,                 1.3477,             0.00010515,             0.00010515,             0.00010515
                     13,                0.66281,                 1.0899,                0.96174,                0.86035,                0.54412,                0.73307,                0.52466,                 1.1274,                 1.6414,                 1.3379,             0.00010398,             0.00010398,             0.00010398
                     14,                0.65959,                 1.0963,                0.97552,                0.91628,                0.55882,                0.75965,                 0.5373,                  1.132,                 1.6557,                 1.3401,             0.00010281,             0.00010281,             0.00010281
                     15,                0.60143,                0.96116,                0.94228,                0.90552,                0.57353,                0.78072,                0.55393,                 1.0915,                 1.5177,                 1.2981,             0.00010165,             0.00010165,             0.00010165
                     16,                0.61194,                0.97738,                0.94584,                0.90897,                0.60294,                0.79976,                0.57538,                 1.0786,                 1.3961,                 1.2727,             0.00010048,             0.00010048,             0.00010048
