                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7948,                 5.2557,                 1.7731,                0.43027,                0.33663,                0.30711,                0.16604,                 1.4169,                 3.7137,                 1.6425,               2.36e-05,               2.36e-05,               2.36e-05
                      2,                 1.3481,                 3.1253,                 1.4464,                0.40793,                0.58416,                0.44039,                0.23407,                 1.2868,                 3.0149,                 1.4327,             4.7901e-05,             4.7901e-05,             4.7901e-05
                      3,                 1.1015,                  2.195,                 1.2377,                0.69756,                0.71287,                0.75048,                0.50131,                 1.0531,                 2.0518,                 1.2352,             7.1711e-05,             7.1711e-05,             7.1711e-05
                      4,                0.93375,                 1.7348,                 1.1253,                0.81777,                0.70297,                0.78808,                0.59121,                 0.9385,                 1.4928,                 1.1793,             9.5031e-05,             9.5031e-05,             9.5031e-05
                      5,                0.90793,                 1.4599,                 1.1057,                0.95999,                0.65347,                0.82313,                0.62601,                 0.9497,                 1.2561,                 1.1711,             0.00011333,             0.00011333,             0.00011333
                      6,                 0.8587,                 1.3249,                 1.0799,                0.82259,                0.73456,                0.82674,                0.64067,                0.86138,                 1.1308,                 1.1185,             0.00011216,             0.00011216,             0.00011216
                      7,                0.82568,                 1.1267,                 1.0513,                0.91916,                0.72277,                0.84455,                0.66397,                0.84042,                 1.0537,                 1.1014,             0.00011099,             0.00011099,             0.00011099
                      8,                0.76943,                 1.1006,                 1.0329,                0.89597,                 0.7675,                0.87497,                0.69005,                 0.8187,                0.92576,                 1.1202,             0.00010982,             0.00010982,             0.00010982
                      9,                 0.7771,                 1.0896,                 1.0599,                0.94215,                0.72277,                0.85512,                0.65337,                0.85787,                0.92499,                 1.1259,             0.00010865,             0.00010865,             0.00010865
                     10,                0.75387,                 1.0069,                 1.0309,                0.91244,                0.82539,                0.88771,                0.69736,                0.84247,                0.78758,                 1.0996,             0.00010749,             0.00010749,             0.00010749
                     11,                0.73675,                0.93883,                 1.0302,                0.91838,                0.78218,                0.87561,                0.68696,                0.86733,                0.82124,                 1.1168,             0.00010632,             0.00010632,             0.00010632
                     12,                0.71506,                0.87324,                0.99651,                0.89212,                0.81877,                0.88025,                0.68371,                0.83172,                0.80163,                 1.1179,             0.00010515,             0.00010515,             0.00010515
                     13,                0.68293,                0.83262,                0.98357,                 0.8686,                0.82178,                0.87666,                0.67899,                0.84259,                0.75608,                 1.1513,             0.00010398,             0.00010398,             0.00010398
                     14,                0.68386,                0.79656,                 0.9901,                0.89962,                 0.7986,                0.86776,                0.67356,                0.83583,                0.77253,                 1.1108,             0.00010281,             0.00010281,             0.00010281
                     15,                0.65919,                0.78272,                0.98849,                0.91253,                0.76238,                0.84438,                0.66714,                0.82723,                0.90078,                 1.0981,             0.00010165,             0.00010165,             0.00010165
                     16,                0.63097,                0.76638,                0.97095,                0.91876,                0.78379,                0.88096,                0.66502,                0.83331,                0.75297,                 1.1209,             0.00010048,             0.00010048,             0.00010048
                     17,                 0.6426,                0.75622,                 0.9644,                0.91858,                0.78218,                0.85456,                0.67442,                0.85511,                0.77974,                 1.1106,             9.9309e-05,             9.9309e-05,             9.9309e-05
                     18,                0.62787,                0.68062,                0.96055,                0.91693,                0.76503,                 0.8545,                  0.685,                0.81353,                0.76548,                 1.0773,             9.8141e-05,             9.8141e-05,             9.8141e-05
                     19,                0.62316,                0.64916,                0.95986,                0.91235,                0.79208,                0.87408,                0.69859,                0.77287,                0.72539,                 1.0555,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     20,                0.60402,                0.62622,                 0.9506,                0.96226,                0.78218,                0.87064,                0.69678,                0.79368,                0.74748,                 1.0919,             9.5804e-05,             9.5804e-05,             9.5804e-05
                     21,                0.58381,                0.58699,                0.94104,                0.96253,                  0.763,                0.85727,                 0.6795,                0.80749,                 0.8072,                 1.1073,             9.4636e-05,             9.4636e-05,             9.4636e-05
                     22,                0.58968,                0.61176,                0.94578,                0.94198,                0.82178,                  0.879,                0.70395,                0.80207,                0.66113,                 1.0923,             9.3468e-05,             9.3468e-05,             9.3468e-05
                     23,                0.58087,                0.60131,                 0.9569,                0.96589,                0.84104,                0.89904,                0.72139,                0.77893,                0.62091,                  1.069,               9.23e-05,               9.23e-05,               9.23e-05
                     24,                0.57096,                0.62345,                0.95164,                0.91105,                0.81124,                0.88431,                0.69727,                0.80343,                0.69033,                   1.11,             9.1131e-05,             9.1131e-05,             9.1131e-05
                     25,                0.57765,                 0.5902,                  0.942,                0.95193,                0.78426,                0.88087,                0.68377,                0.83602,                0.67069,                 1.1125,             8.9963e-05,             8.9963e-05,             8.9963e-05
                     26,                0.58992,                0.59503,                0.93126,                0.97107,                0.78218,                0.88697,                0.68288,                0.83033,                0.67886,                  1.127,             8.8795e-05,             8.8795e-05,             8.8795e-05
                     27,                0.61838,                0.58612,                0.96319,                0.96367,                0.78796,                 0.8876,                0.69544,                0.81122,                0.66691,                  1.103,             8.7627e-05,             8.7627e-05,             8.7627e-05
                     28,                0.55705,                0.54562,                0.93476,                0.96111,                0.80198,                0.87619,                0.70128,                0.83001,                0.70537,                 1.1193,             8.6459e-05,             8.6459e-05,             8.6459e-05
                     29,                0.56136,                0.64217,                0.94537,                0.95189,                0.78353,                0.88574,                0.71592,                0.79513,                0.67301,                 1.0822,              8.529e-05,              8.529e-05,              8.529e-05
                     30,                0.56564,                0.56368,                0.93277,                0.92388,                0.82178,                0.88839,                0.70741,                0.81822,                0.68725,                 1.1009,             8.4122e-05,             8.4122e-05,             8.4122e-05
                     31,                 0.5381,                0.52233,                0.92052,                0.91886,                0.78484,                0.87264,                0.68748,                0.83959,                 0.7699,                 1.1132,             8.2954e-05,             8.2954e-05,             8.2954e-05
                     32,                0.53744,                0.52062,                0.92913,                0.95085,                0.76618,                0.87402,                0.68812,                0.82986,                0.77075,                 1.1229,             8.1786e-05,             8.1786e-05,             8.1786e-05
                     33,                0.52768,                0.50374,                0.93158,                0.88275,                0.80198,                0.87503,                0.69853,                0.80063,                0.76911,                 1.1189,             8.0618e-05,             8.0618e-05,             8.0618e-05
                     34,                0.49824,                0.49185,                0.91805,                0.92239,                0.84158,                0.88548,                0.71079,                0.76718,                0.68798,                 1.0894,             7.9449e-05,             7.9449e-05,             7.9449e-05
                     35,                0.51779,                0.47774,                0.91932,                0.94464,                0.84483,                0.90304,                0.71986,                0.74907,                0.64897,                 1.0537,             7.8281e-05,             7.8281e-05,             7.8281e-05
                     36,                0.52774,                0.49809,                0.92391,                0.93431,                0.84497,                0.90771,                0.72301,                 0.7388,                0.58216,                 1.0593,             7.7113e-05,             7.7113e-05,             7.7113e-05
                     37,                0.50443,                0.46888,                0.91636,                0.95025,                0.85149,                0.90155,                 0.7219,                0.75784,                0.60529,                 1.0701,             7.5945e-05,             7.5945e-05,             7.5945e-05
                     38,                0.51614,                 0.4707,                0.91355,                0.93347,                0.83351,                0.89362,                0.70791,                0.78591,                 0.6669,                 1.0892,             7.4777e-05,             7.4777e-05,             7.4777e-05
                     39,                0.49259,                0.46555,                0.90759,                0.95331,                0.80874,                0.88774,                0.70986,                0.77357,                0.68513,                 1.0942,             7.3608e-05,             7.3608e-05,             7.3608e-05
                     40,                0.51064,                0.48141,                0.92593,                0.96405,                0.79652,                0.89362,                0.73358,                0.73758,                0.65193,                 1.0762,              7.244e-05,              7.244e-05,              7.244e-05
                     41,                 0.4915,                0.45311,                0.92063,                0.95389,                0.84158,                0.90185,                 0.7278,                0.72912,                0.57251,                 1.0683,             7.1272e-05,             7.1272e-05,             7.1272e-05
                     42,                0.49122,                0.44621,                0.90704,                0.96425,                0.80109,                0.89957,                 0.7308,                0.73117,                0.57853,                 1.0735,             7.0104e-05,             7.0104e-05,             7.0104e-05
                     43,                 0.4792,                0.43027,                0.91504,                0.93751,                0.79208,                0.88509,                0.71192,                0.74826,                0.72489,                 1.0721,             6.8936e-05,             6.8936e-05,             6.8936e-05
                     44,                 0.4931,                 0.4593,                0.90903,                0.91643,                0.79208,                0.87371,                0.72115,                0.73822,                0.72837,                 1.0605,             6.7767e-05,             6.7767e-05,             6.7767e-05
                     45,                0.45803,                0.42941,                 0.9044,                0.93557,                0.83168,                0.90337,                0.74922,                 0.7331,                0.62493,                 1.0586,             6.6599e-05,             6.6599e-05,             6.6599e-05
                     46,                0.47931,                0.43802,                0.91203,                 0.9523,                0.79066,                0.89448,                0.72976,                0.72515,                0.62529,                 1.0417,             6.5431e-05,             6.5431e-05,             6.5431e-05
                     47,                0.44031,                0.41857,                  0.902,                0.91574,                0.79208,                0.87532,                0.71729,                0.74435,                 0.7322,                  1.064,             6.4263e-05,             6.4263e-05,             6.4263e-05
                     48,                0.46396,                0.42581,                0.90661,                0.92968,                0.78542,                0.87525,                0.70776,                0.76566,                0.69399,                 1.0715,             6.3095e-05,             6.3095e-05,             6.3095e-05
                     49,                0.47658,                0.42381,                0.89585,                0.96941,                0.77228,                0.88388,                 0.7187,                0.73281,                 0.6365,                 1.0463,             6.1926e-05,             6.1926e-05,             6.1926e-05
                     50,                0.47605,                0.42235,                0.91813,                0.93261,                0.79208,                0.88648,                0.71116,                0.75355,                0.67741,                 1.0801,             6.0758e-05,             6.0758e-05,             6.0758e-05
                     51,                0.45756,                0.42399,                0.90305,                0.95125,                0.79208,                0.87216,                 0.7069,                0.77302,                0.75103,                  1.092,              5.959e-05,              5.959e-05,              5.959e-05
                     52,                0.47385,                0.43675,                0.91625,                0.92877,                0.77464,                 0.8719,                 0.7105,                0.74858,                0.68358,                 1.0637,             5.8422e-05,             5.8422e-05,             5.8422e-05
                     53,                0.47449,                0.42393,                0.90459,                0.93355,                0.77228,                0.86679,                0.70961,                0.74134,                0.72567,                 1.0615,             5.7254e-05,             5.7254e-05,             5.7254e-05
                     54,                0.45373,                0.41553,                0.89788,                0.93169,                0.81026,                0.87025,                0.71636,                0.74092,                0.67326,                  1.052,             5.6085e-05,             5.6085e-05,             5.6085e-05
                     55,                0.45503,                0.40223,                0.89634,                0.92185,                0.81752,                0.87168,                0.72464,                0.74503,                0.66512,                 1.0476,             5.4917e-05,             5.4917e-05,             5.4917e-05
                     56,                 0.4526,                0.40472,                0.90393,                0.94485,                0.84813,                0.88957,                0.74528,                0.72093,                0.60611,                 1.0315,             5.3749e-05,             5.3749e-05,             5.3749e-05
                     57,                0.46764,                0.39718,                0.90211,                0.94075,                0.82178,                0.89393,                0.74366,                0.71907,                0.60345,                 1.0331,             5.2581e-05,             5.2581e-05,             5.2581e-05
                     58,                0.44941,                0.39742,                 0.8978,                0.93877,                0.80198,                0.88928,                0.74191,                0.73471,                0.68325,                 1.0401,             5.1413e-05,             5.1413e-05,             5.1413e-05
                     59,                0.45657,                0.40225,                0.90267,                0.96276,                0.76788,                0.88275,                0.73964,                0.74064,                0.68337,                 1.0414,             5.0244e-05,             5.0244e-05,             5.0244e-05
                     60,                 0.4301,                0.37505,                0.89046,                0.97589,                0.80137,                0.89337,                0.73206,                0.74634,                0.66936,                 1.0584,             4.9076e-05,             4.9076e-05,             4.9076e-05
                     61,                0.44133,                0.38243,                0.89478,                0.95438,                0.85149,                0.90315,                0.74045,                0.74505,                0.61106,                  1.064,             4.7908e-05,             4.7908e-05,             4.7908e-05
